BV,M
0.124,2.235
0.124,1.456
0.125,0.416
0.125,-3.328
0.125,2.961
0.125,1.581
0.126,0.120
0.126,2.356
0.126,-2.748
0.126,0.527
0.127,-3.995
0.127,0.843
0.127,5.644
0.127,1.895
0.127,0.291
0.128,1.691
0.128,2.567
0.128,-5.254
0.129,-2.165
0.130,-0.316
0.130,1.242
0.130,12.785
0.131,2.759
0.131,4.411
0.131,1.395
0.131,-0.460
0.131,4.078
0.131,1.816
0.131,-3.053
0.132,1.104
0.132,-0.193
0.133,2.424
0.133,2.132
0.133,0.467
0.133,2.274
0.134,-0.001
0.134,1.516
0.134,1.615
0.134,0.999
0.135,-1.120
0.135,-3.911
0.135,-4.697
0.136,0.741
0.136,2.667
0.136,-5.105
0.136,2.043
0.136,0.261
0.136,1.927
0.137,-6.136
0.137,1.726
0.137,0.379
0.137,3.000
0.137,0.617
0.138,-4.237
0.138,0.897
0.139,1.311
0.139,-0.133
0.139,0.158
0.140,1.195
0.141,2.177
0.142,1.438
0.142,-3.305
0.142,2.331
0.142,-2.919
0.143,-4.879
0.143,1.854
0.144,2.504
0.144,0.688
0.144,12.353
0.144,1.665
0.144,0.985
0.145,-5.619
0.145,1.096
0.145,2.073
0.146,1.569
0.146,2.769
0.147,-4.499
0.147,2.416
0.147,1.951
0.147,0.423
0.147,-2.557
0.147,0.573
0.147,-4.023
0.148,0.822
0.148,-0.059
0.148,1.276
0.149,-3.098
0.149,0.200
0.149,-5.392
0.149,1.188
0.149,3.249
0.149,1.766
0.151,2.610
0.151,2.281
0.151,2.146
0.151,-0.235
0.152,-2.777
0.153,1.389
0.153,1.876
0.153,1.050
0.154,1.638
0.154,2.841
0.154,0.744
0.154,-4.578
0.154,2.038
0.154,1.508
0.155,0.290
0.155,-3.563
0.155,0.501
0.155,2.360
0.156,2.475
0.156,11.264
0.156,0.894
0.156,3.029
0.157,-2.474
0.157,-3.068
0.157,-1.827
0.158,0.086
0.158,-3.799
0.159,-3.408
0.159,1.235
0.159,0.195
0.159,0.371
0.159,2.229
0.160,0.638
0.160,-3.984
0.161,2.124
0.161,1.789
0.161,1.696
0.161,2.657
0.161,3.281
0.162,-2.831
0.162,0.966
0.162,0.804
0.162,1.895
0.162,1.321
0.163,1.447
0.163,2.924
0.163,-2.277
0.163,11.939
0.163,0.448
0.164,1.151
0.164,-5.249
0.164,2.026
0.165,2.310
0.165,2.442
0.165,0.559
0.166,1.621
0.167,2.561
0.167,0.894
0.167,2.772
0.167,-4.815
0.168,-2.355
0.168,-4.390
0.168,-5.599
0.169,1.072
0.169,-0.066
0.169,1.513
0.169,-0.566
0.170,3.349
0.170,1.391
0.170,2.140
0.170,1.821
0.171,0.066
0.171,1.228
0.171,1.946
0.171,-0.362
0.171,-3.009
0.171,-3.502
0.171,0.494
0.172,2.250
0.172,0.813
0.172,2.982
0.173,-5.057
0.174,2.059
0.174,1.730
0.175,2.853
0.175,-3.403
0.175,0.220
0.175,2.520
0.176,3.196
