x,y,I
2.7,2.1,0.003
2.8,2.1,0.002
2.9,2.1,0.
3.,2.1,0.
3.1,2.1,0.
3.2,2.1,0.
3.3,2.1,0.
3.4,2.1,0.002
3.5,2.1,0.002
3.6,2.1,0.002
3.7,2.1,0.002
3.8,2.1,0.002
3.9,2.1,0.001
4.,2.1,0.

-4.,2.02,0.001
-3.9,2.02,0.002
-3.8,2.02,0.002
-3.7,2.02,0.002
-3.6,2.02,0.002
-3.5,2.02,0.002
-3.4,2.02,0.001
-3.3,2.02,0.
-3.2,2.02,0.
-3.1,2.02,0.
-3.,2.02,0.
-2.9,2.02,0.001
-2.8,2.02,0.002
-2.7,2.02,0.004
-2.6,2.02,0.005
-2.5,2.02,0.005
-2.4,2.02,0.006
-2.3,2.02,0.005
-2.2,2.02,0.005
-2.1,2.02,0.003
-2.,2.02,0.002
-1.9,2.02,0.001
-1.8,2.02,0.001
-1.7,2.02,0.
-1.6,2.02,0.001
-1.5,2.02,0.002
-1.4,2.02,0.003
-1.3,2.02,0.004
-1.2,2.02,0.005
-1.1,2.02,0.006
-1.,2.02,0.006
-0.9,2.02,0.006
-0.8,2.02,0.006
-0.7,2.02,0.005
-0.6,2.02,0.005
-0.5,2.02,0.004
-0.4,2.02,0.003
-0.3,2.02,0.003
-0.2,2.02,0.003
-0.1,2.02,0.002
0,2.02,0.002
0.1,2.02,0.002
0.2,2.02,0.003
0.3,2.02,0.003
0.4,2.02,0.003
0.5,2.02,0.004
0.6,2.02,0.005
0.7,2.02,0.005
0.8,2.02,0.006
0.9,2.02,0.006
1.,2.02,0.006
1.1,2.02,0.006
1.2,2.02,0.005
1.3,2.02,0.004
1.4,2.02,0.003
1.5,2.02,0.002
1.6,2.02,0.001
1.7,2.02,0.
1.8,2.02,0.001
1.9,2.02,0.001
2.,2.02,0.002
2.1,2.02,0.003
2.2,2.02,0.005
2.3,2.02,0.005
2.4,2.02,0.006
2.5,2.02,0.005
2.6,2.02,0.005
2.7,2.02,0.004
2.8,2.02,0.002
2.9,2.02,0.001
3.,2.02,0.
3.1,2.02,0.
3.2,2.02,0.
3.3,2.02,0.
3.4,2.02,0.001
3.5,2.02,0.002
3.6,2.02,0.002
3.7,2.02,0.002
3.8,2.02,0.002
3.9,2.02,0.002
4.,2.02,0.001

-4.,1.95,0.001
-3.9,1.95,0.002
-3.8,1.95,0.002
-3.7,1.95,0.002
-3.6,1.95,0.002
-3.5,1.95,0.002
-3.4,1.95,0.
-3.3,1.95,0.
-3.2,1.95,0.
-3.1,1.95,0.
-3.,1.95,0.
-2.9,1.95,0.002
-2.8,1.95,0.003
-2.7,1.95,0.004
-2.6,1.95,0.005
-2.5,1.95,0.006
-2.4,1.95,0.006
-2.3,1.95,0.005
-2.2,1.95,0.004
-2.1,1.95,0.002
