BV	M
0.238	1.379
0.239	1.988
0.239	2.699
0.239	-0.875
0.240	-4.196
0.240	-3.943
0.240	0.092
0.240	0.285
0.240	1.217
0.240	-3.394
0.240	0.551
0.241	2.863
0.241	1.808
0.241	-2.128
0.242	-1.259
0.242	-3.804
0.242	-2.305
0.242	1.110
0.242	2.198
0.243	-3.151
0.243	11.415
0.243	9.538
0.243	2.330
0.244	0.905
0.244	2.516
0.244	3.156
0.246	1.630
0.246	2.102
0.247	-3.304
0.247	2.792
0.247	0.782
0.247	3.763
0.247	1.509
0.248	2.599
0.248	1.011
0.248	1.395
0.248	1.956
0.249	-2.805
0.249	-2.584
0.249	1.734
0.250	0.681
0.251	1.176
0.251	3.670
0.251	-3.461
0.251	1.862
0.251	2.963
0.252	-3.167
0.252	3.107
0.252	2.258
0.253	3.205
0.253	2.429
0.253	2.721
0.253	3.481
0.254	0.900
0.254	2.021
0.254	-4.586
0.255	1.455
0.255	0.510
0.255	1.559
0.255	-0.146
0.255	-1.702
0.256	2.141
0.256	7.905
0.258	-2.148
0.259	2.631
0.259	1.369
0.259	2.502
0.259	1.753
0.259	0.702
0.259	-4.017
0.260	3.698
0.260	1.663
0.261	1.164
0.262	0.843
0.262	2.765
0.262	2.862
0.263	2.305
0.263	1.934
0.263	3.140
0.263	0.970
0.264	3.253
0.264	1.252
0.264	0.147
0.264	3.457
0.265	3.860
0.265	-3.583
0.265	2.086
0.266	2.193
0.266	-2.024
0.267	3.578
0.267	-2.374
0.267	-1.391
0.267	1.495
0.268	3.017
0.268	2.696
0.268	1.806
0.268	-0.814
0.268	2.575
0.269	-0.104
0.269	1.693
0.269	2.430
0.270	1.352
0.270	0.720
0.271	0.885
0.272	-2.523
0.272	0.524
0.272	2.816
0.272	-3.484
0.272	-1.196
0.272	1.974
0.272	1.167
0.272	2.296
0.273	0.286
0.274	3.284
0.274	-4.664
0.274	-1.020
0.274	2.058
0.275	2.210
0.275	-2.883
0.275	1.441
0.275	-3.855
0.276	3.600
0.276	1.564
0.276	1.063
0.277	2.624
0.277	2.740
0.277	-0.265
0.277	3.704
0.277	2.951
0.277	-4.484
0.278	3.412
0.278	0.629
0.278	2.482
0.278	-2.255
0.279	1.295
0.279	1.906
0.279	0.779
0.279	-3.739
0.279	1.753
0.279	2.374
0.280	-1.858
0.280	1.656
0.280	2.849
0.280	-2.360
0.280	3.120
0.280	0.960
