B-V,M_V
0.4500,4.7782
0.7000,5.0882
0.0100,4.8482
0.8200,2.1782
0.6200,4.0282
0.6800,5.6782
0.5800,4.1482
0.5600,4.3282
0.6600,-3.1418
0.4700,3.9082
0.7400,5.3182
0.6300,4.6282
0.7700,5.7182
0.5500,4.6982
0.5800,4.8182
0.6700,3.9182
0.7500,5.6382
0.3900,5.6182
0.6100,4.4682
0.9500,5.9682
0.4800,4.4782
0.8800,1.2682
0.5900,4.0782
0.5400,4.3482
0.6800,4.3782
0.6100,4.1482
0.7900,5.4282
0.8300,5.6682
0.7500,5.7582
0.6400,5.1382
0.6000,4.2482
0.8000,3.9082
0.6000,4.5082
0.7600,5.4282
0.6600,5.2182
0.7300,5.1582
0.6500,5.5782
0.6000,5.4482
0.8000,5.4982
0.6400,3.5782
0.6600,5.6682
0.5600,4.3682
0.6100,4.2882
0.6700,5.5182
0.8700,5.7982
0.7900,2.3682
0.7500,3.7782
0.7200,5.5582
1.0700,5.1382
0.6700,5.5682
0.7300,5.5682
0.7200,5.7882
0.6100,4.9082
0.6600,4.5082
1.0800,5.2882
0.5700,4.2182
0.6100,4.5682
0.7300,5.4382
0.5800,4.9482
0.6200,4.5082
0.7000,5.2682
0.7000,5.7482
0.6700,5.4982
0.8500,5.6482
0.6200,5.1982
0.6100,4.6282
0.7000,5.1582
0.6000,4.3482
0.8000,3.7282
0.6500,5.2282
0.7000,5.5882
0.6300,5.3082
0.6100,4.1782
0.7600,5.6382
0.8000,5.7582
0.6400,4.7182
0.6100,4.7882
0.6300,4.8482
0.6400,5.4982
0.7800,5.4182
0.8100,5.4982
0.6500,5.4082
0.6100,5.1282
0.6200,5.3282
0.8000,4.2382
0.6000,4.2182
0.6100,4.8482
0.9000,5.6282
0.9100,5.6582
0.8300,3.5382
1.0000,4.6582
0.5600,4.3982
0.8400,5.4682
0.7300,5.7482
0.6900,5.6982
0.6200,4.0882
0.5900,4.6182
0.6700,5.5382
0.5900,4.5582
0.6500,5.1982
0.6400,4.7282
0.5900,4.3882
0.5800,4.3282
0.8100,2.8582
0.6100,5.1982
0.7400,5.3382
0.4900,3.7982
0.6300,4.0582
0.6600,4.9082
0.6400,5.0982
0.7700,5.7482
0.7600,5.3382
0.6600,4.4982
0.7900,5.4882
0.7900,3.3482
0.5900,4.2882
0.6100,4.8782
0.6700,5.1782
0.7400,3.8982
0.6900,5.1382
0.6000,4.2582
0.5800,4.5182
0.7400,5.1882
0.7500,5.6782
0.8200,5.7682
0.6700,5.2682
0.6100,4.9082
0.5700,4.3382
0.5700,4.6882
0.6300,4.4482
0.6000,3.7782
0.8200,0.7182
0.7300,2.7582
0.5700,4.4982
0.7900,4.8782
0.5400,4.8282
1.3400,3.5582
0.6200,4.9682
0.8000,2.5382
0.6500,4.9982
0.6800,5.0882
0.5400,4.1682
0.8400,0.8582
0.3200,2.8782
0.8400,5.7382
0.7400,5.2982
0.7600,5.7682
0.6500,5.6682
0.7600,5.6682
0.7400,5.6682
0.5900,4.8582
0.6900,5.1282
0.7800,5.0982
0.6300,4.7082
0.6800,5.3682
0.6200,3.9482
0.7100,3.7482
0.6500,5.1782
0.7600,5.3682
0.8800,0.5982
0.9300,5.1682
0.6200,5.1182
0.9000,5.0782
0.6600,5.0182
0.8000,0.8782
0.8000,5.7082
0.6200,4.2382
0.8600,5.3082
0.6600,4.8882
0.9300,5.4782
0.8900,5.5082
0.6200,4.8582
0.6600,5.0282
1.1500,4.6882
0.6400,4.7582
0.7200,5.6082
0.6400,4.0882
0.5800,4.1982
0.7700,5.5282
0.7700,5.8982
0.4100,6.0782
0.6900,3.4782
0.8500,2.3682
1.1700,3.6782
0.6400,4.7482
0.8300,5.6382
0.6600,5.2182
0.6300,4.4382
0.6900,5.7882
0.6200,5.9482
0.6900,5.0982
0.8500,2.7682
0.6300,4.0382
0.7800,5.6782
0.5900,4.2382
0.7000,5.7682
0.7200,5.2282
0.5500,5.2682
0.7200,3.5482
0.7300,3.9182
0.8200,5.6182
0.6100,4.8082
1.1500,4.4582
0.8000,5.2882
0.0400,5.5982
0.8200,5.7482
0.6600,5.3182
0.7300,5.5382
0.7900,3.6482
0.7500,5.7282
0.6300,4.3082
0.8100,5.0182
0.7800,0.7882
0.7600,5.4182
0.7100,5.2082
0.6000,5.0182
0.9100,5.6482
0.8400,5.5882
0.6400,5.3482
0.6000,4.7882
0.6900,5.1482
0.7800,5.2982
0.6700,5.5682
0.6600,4.3782
0.5800,5.4182
0.7500,0.6882
0.6000,4.8282
0.7600,3.9382
0.6000,4.5282
0.6100,4.2982
0.7100,5.6082
0.6900,5.7782
0.7000,5.3182
0.8600,5.3482
0.7200,5.4882
1.0600,0.2082
0.5600,3.3782
0.7300,5.3682
0.7600,3.5682
0.4000,4.9282
0.6000,3.8582
0.6600,5.3482
0.6900,5.5382
0.5900,4.5082
0.5900,4.7682
0.7900,5.7382
0.6500,4.0482
0.7200,5.4482
0.5500,4.3782
0.6200,5.0882
0.6300,4.4482
0.6400,5.2082
0.5600,4.0182
0.5000,4.7182
0.7200,5.7882
0.6900,5.4282
0.6300,5.0782
0.8300,5.6082
0.7600,5.3782
0.5800,3.8982
0.6300,3.9982
0.6600,5.2282
0.8600,5.2782
0.6800,4.8082
0.5700,4.6982
0.5700,4.5182
0.7300,5.4682
0.8000,5.5382
0.5400,4.6182
0.7900,5.4282
0.6700,5.3582
0.7600,5.8182
0.5900,4.0682
0.6500,5.0982
0.8000,5.6882
0.7100,5.4682
0.5800,5.0982
0.6000,4.8282
0.6500,4.4882
1.1700,-0.4418
0.5900,4.5982
0.6700,5.1282
0.6200,3.5982
0.5700,4.7082
0.6900,5.7082
0.7100,3.9182
0.7000,5.4182
0.6900,5.2282
0.6900,5.4282
0.5900,5.0182
0.7000,5.4382
0.5900,5.4482
0.5800,5.4582
0.9500,1.0282
0.7500,5.1082
0.6300,4.6082
0.7800,5.6182
0.5900,4.8482
0.5600,4.5682
0.8500,5.6182
0.7800,5.2782
0.6000,4.5882
1.0800,4.5282
0.6900,2.4382
0.6400,5.1482
0.6100,4.6382
0.8400,2.5282
0.6900,5.8682
0.8700,1.9482
0.4800,4.5482
0.6100,4.0082
0.8000,5.6782
0.7500,5.5782
0.5100,3.9682
0.7600,5.3382
1.1200,4.6082
0.6600,5.1182
0.5700,5.5682
0.9500,1.3182
0.8300,3.2882
0.7300,4.8982
0.7300,3.9182
0.7900,3.6082
0.5200,4.2682
0.6000,4.9782
0.6200,4.8482
0.6400,5.5282
0.6500,5.1682
0.6400,4.2782
0.6600,4.9982
0.6700,5.5482
0.7400,5.2282
0.8300,5.6382
0.7000,5.1682
0.6900,5.2782
0.8000,3.1282
0.4000,4.6382
0.6200,5.0282
0.5800,4.5382
0.7000,5.0882
0.5300,4.5082
0.6100,4.9582
0.6200,5.1982
0.6200,4.6182
0.5100,4.4082
0.8100,3.2882
0.7200,5.5682
0.6300,4.0982
0.7700,5.1582
0.8400,5.5182
0.5700,4.6582
0.4500,4.2182
1.1100,4.4182
0.7500,5.5582
0.6300,5.2982
0.8600,5.6882
0.8800,5.5182
0.6400,5.2382
0.8600,0.7082
0.6300,4.7282
0.8400,0.6282
0.8400,4.4582
0.6800,4.9582
0.6200,4.7082
0.4200,3.7582
0.4000,5.0282
0.6000,5.2682
0.7000,5.4982
0.8700,5.5082
0.7000,5.2082
0.5400,4.3382
0.7400,5.4082
0.6000,4.4382
0.6700,5.1582
0.8100,5.6682
1.1500,-0.2318
0.6700,4.3382
0.8100,5.5382
0.6900,5.6682
0.6700,5.1182
0.6200,5.4182
0.5600,4.6882
0.4800,4.4882
0.9900,5.3082
0.6700,5.2582
0.5700,4.9782
0.6400,4.2582
