_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 50.1783271657;+23.4896638612;  50.17833262;+023.48968158;  9.412;  9.233;  47; 6.1375; 0.0000; 0.0000;1
 50.1789802425;+25.2193979057;  50.17896063;+025.21943993; 12.200; 11.241;  47; 6.1212; 0.0000; 1.0000;1
 50.1789690686;+25.2457054762;  50.17896773;+025.24574507; 13.352; 11.709;  47; 6.1246; 0.0000; 0.5456;1
 50.1881527514;+28.2292061756;  50.18814196;+028.22922387; 11.355; 10.849;  47; 7.1542; 0.0000; 0.0000;0
 50.1899628209;+23.1679265924;  50.18957091;+023.16812427; 10.791; 10.127;  47; 6.1832; 0.0000; 1.0000;1
 50.1904449034;+28.4349295200;  50.19047235;+028.43494177;  9.321;  8.992;  47; 7.2635; 0.0000; 0.0000;0
 50.1904739112;+23.1839674187;  50.19048050;+023.18400045;  8.853;  8.453;  47; 6.1793; 0.0000; 1.0000;1
 50.1918830478;+19.0045454589;  50.19186567;+019.00454682; 12.050; 10.539;  47; 8.1006; 0.0000; 0.0000;0
 50.1936878384;+18.7373129268;  50.19364839;+018.73740784;  9.689;  8.625;  47; 8.2782; 0.0000; 0.0000;0
 50.1945802139;+28.3927888169;  50.19460933;+028.39279956; 11.718; 11.188;  47; 7.2375; 0.0000; 0.0000;0
 50.1956171538;+21.6558775607;  50.19555518;+021.65595896; 10.539;  9.930;  47; 6.6446; 0.0000; 0.0000;0
 50.1995908586;+17.6561854576;  50.19946291;+017.65634585; 10.583;  9.915;  47; 9.0420; 0.0000; 0.0000;0
 50.1998720631;+21.4894293757;  50.19986838;+021.48943640; 12.217; 10.584;  47; 6.7110; 0.0000; 0.0000;0
 50.2006268764;+18.3104102968;  50.20063809;+018.31042121; 12.943; 12.578;  47; 8.5687; 0.0000; 0.0000;0
 50.2040507796;+18.0827120133;  50.20404833;+018.08272193; 12.074; 10.779;  47; 8.7282; 0.0000; 0.0000;0
 50.2049426320;+26.1102764865;  50.20502717;+026.11031574; 11.260; 10.518;  47; 6.2773; 0.0000; 1.0000;1
 50.2052631004;+30.5800796098;  50.20511818;+030.58014453; 11.199; 10.470;  47; 8.6205; 0.0000; 0.0000;0
 50.2108868583;+25.6302044792;  50.21091600;+025.63023700;       ; 11.909;  47; 6.1603; 0.0000; 0.0000;1
 50.2143647439;+20.5095802611;  50.21434948;+020.50963665;       ; 10.779;  47; 7.1754; 0.0000; 0.0000;0
 50.2144239469;+20.5094305906;  50.21441502;+020.50948591;  7.973;  6.791;  47; 7.1755; 0.0000; 0.0000;0
 50.2178153558;+18.9196643469;  50.21777625;+018.91963134; 10.500; 10.011;  47; 8.1381; 0.0000; 0.0000;0
 50.2208635446;+25.6653071779;  50.22078777;+025.66533948; 12.797; 11.824;  47; 6.1587; 0.0000; 1.0000;1
 50.2241497989;+19.1125210282;  50.22408495;+019.11254774; 12.280; 11.359;  47; 8.0058; 0.0000; 0.0000;0
 50.2268359743;+18.5929323335;  50.22682843;+018.59295608; 12.605; 12.419;  47; 8.3533; 0.0000; 0.0000;0
 50.2306685506;+26.7714359751;  50.23065630;+026.77145418; 11.945; 11.021;  47; 6.4651; 0.0000; 0.0000;0
 50.2319603516;+28.0593016099;  50.23195292;+028.05931228; 12.932; 11.342;  47; 7.0336; 0.0000; 0.0000;0
 50.2332011771;+17.6201652896;  50.23316805;+017.62019380; 10.402;  9.836;  47; 9.0464; 0.0000; 0.0000;0
 50.2429881421;+24.2889704540;  50.24288015;+024.28903727; 11.691; 11.739;  47; 6.0110; 0.0000; 0.0001;1
 50.2439873624;+18.5466934798;  50.24384761;+018.54691415; 12.336; 11.581;  47; 8.3730; 0.0000; 0.0000;0
